1.1522438526153564,0.01,0.00,-0.01,0.01
1.197831392288208,0.01,-0.00,-0.00,0.01
1.2432327270507812,0.01,-0.01,-0.02,0.02
1.3823211193084717,0.00,-0.00,-0.02,0.02
1.4279897212982178,0.01,-0.00,-0.01,0.01
1.4754252433776855,0.00,0.01,-0.02,0.02
1.523118495941162,0.00,0.02,-0.02,0.03
1.6195850372314453,0.01,0.01,-0.02,0.02
1.6609914302825928,-0.01,0.01,-0.01,0.01
1.754957675933838,-0.01,0.01,-0.02,0.02
1.8024544715881348,-0.01,0.02,-0.02,0.04
1.9003207683563232,0.01,-0.00,0.03,0.04
2.008138418197632,0.01,0.04,-0.03,0.05
2.055267333984375,-0.00,-0.02,-0.04,0.05
2.155928134918213,-0.00,0.01,-0.05,0.05
2.3810553550720215,0.01,0.01,-0.03,0.03
3.901966094970703,-5.52,0.39,-1.51,5.74
4.5229432582855225,7.68,-3.58,-1.34,8.58
5.556914329528809,-5.24,-0.03,-1.83,5.55
6.431657075881958,9.78,-0.03,1.70,9.93
7.484607934951782,-0.58,-0.16,0.73,0.95
8.283571004867554,8.21,-0.28,-0.12,8.22
9.646474361419678,-0.23,0.20,-0.36,0.47
10.326157331466675,-1.57,0.81,0.64,1.88
